"","gdp","year","country","life_exp","ln_gdp","Diff_ln_gdp","Diff_life_exp"
"1",42813.7649619025,1990-12-31,"Norway",76.5373170731707,10.6646149411235,NA,NA
"2",43924.628254043,1991-12-31,"Norway",76.9807317073171,10.6902304498218,0.0256155086983529,0.443414634146407
"3",45232.8416940254,1992-12-31,"Norway",77.1843902439025,10.7195786881354,0.0293482383135721,0.203658536585394
"4",46243.7798646019,1993-12-31,"Norway",77.1517073170732,10.741682244482,0.0221035563466447,-0.0326829268292954
"5",48305.7807034881,1994-12-31,"Norway",77.689756097561,10.7853065157812,0.0436242712991746,0.538048780487799
"6",50051.8713265966,1995-12-31,"Norway",77.7365853658537,10.8208151731872,0.0355086574059786,0.0468292682926972
"7",52302.6913353941,1996-12-31,"Norway",78.1504878048781,10.8648031082968,0.0439879351095822,0.413902439024397
"8",54768.9489812141,1997-12-31,"Norway",78.1426829268293,10.9108786879134,0.0460755796166374,-0.00780487804880181
"9",55872.639752512,1998-12-31,"Norway",78.3292682926829,10.9308300894579,0.0199514015444695,0.186585365853603
"10",56608.5651311865,1999-12-31,"Norway",78.2829268292683,10.9439155801486,0.0130854906906706,-0.046341463414592
"11",58045.0672672257,2000-12-31,"Norway",78.6341463414634,10.9689750096521,0.0250594295035267,0.351219512195101
"12",58956.3941539921,2001-12-31,"Norway",78.7853658536585,10.9845533674963,0.0155783578441948,0.151219512195098
"13",59482.3659600334,2002-12-31,"Norway",78.9878048780488,10.9934351771877,0.00888180969144159,0.202439024390301
"14",59678.4475323707,2003-12-31,"Norway",79.390243902439,10.9967262213418,0.00329104415402881,0.402439024390191
"15",61675.6007816359,2004-12-31,"Norway",79.8414634146342,11.0296436824387,0.0329174610969059,0.451219512195209
"16",62864.7964675944,2005-12-31,"Norway",80.0414634146342,11.0487416114112,0.0190979289725419,0.199999999999989
"17",63854.1135353232,2006-12-31,"Norway",80.3439024390244,11.064356284371,0.0156146729597708,0.30243902439021
"18",65083.2586976308,2007-12-31,"Norway",80.3951219512195,11.0834226322618,0.0190663478908384,0.0512195121950896
"19",64586.1779018675,2008-12-31,"Norway",80.5926829268293,11.0757557025097,-0.00766692975213168,0.197560975609804
"20",62698.285355183,2009-12-31,"Norway",80.7951219512195,11.0460893794398,-0.0296663230698844,0.202439024390202
"21",62350.4107068751,2010-12-31,"Norway",80.9975609756098,11.0405255382056,-0.00556384123421694,0.202439024390301
"22",62145.0261549128,2011-12-31,"Norway",81.2951219512195,11.0372260640487,-0.00329947415690945,0.297560975609699
"23",63003.4108977463,2012-12-31,"Norway",81.4512195121951,11.0509441451422,0.0137180810934883,0.156097560975596
"24",62896.290059206,2013-12-31,"Norway",81.7512195121951,11.0492424593784,-0.00170168576375573,0.300000000000011
"25",63419.314778542,2014-12-31,"Norway",82.1,11.0575237435329,0.00828128415449925,0.348780487804888
"26",64008.2868303461,2015-12-31,"Norway",82.3048780487805,11.0667678356839,0.00924409215103417,0.2048780487805
"27",64159.544250136,2016-12-31,"Norway",82.509756097561,11.0691281391819,0.00236030349794447,0.2048780487805
